task_id,task_content,status,doc_type,parent_task_id,primary_doc
SGK-2026-0089,高速ベンチ運用 + P0採用決定 + Confirmed増加プラン（1ページ）,active,spec,,docs/shigoku/specs/2026-05-11_fast_bench_p0_decision_and_confirmed_growth_plan.md
SGK-2026-0090,SCN01-07 測定用ベンチ計画（固定seed・固定session / 境界tightening）,active,spec,,docs/shigoku/specs/2026-05-11_scn01-07_benchmark_plan.md
SGK-2026-0091,Ver.1.x HITL Gate Policy (SCN08/10/12),active,spec,,docs/shigoku/specs/2026-05-14_ver1x_hitl_gate_policy.md
SGK-2026-0092,SHIGOKU 統合アーキテクチャ,active,spec,,docs/shigoku/specs/ARCHITECTURE.md
SGK-2026-0093,実験的機能 (Experimental Features),active,spec,,docs/shigoku/specs/EXPERIMENTAL_FEATURES.md
SGK-2026-0094,SHIGOKU 機能拡張マスタープラン,active,spec,SGK-2026-0065,docs/shigoku/specs/FEATURE_EXPANSION_PLAN.md
SGK-2026-0095,IDOR (Insecure Direct Object Reference) / BOLA スキャナの実装課題と将来のロードマップ,active,spec,,docs/shigoku/specs/Kadai_idor_challenges_roadmap.md
SGK-2026-0096,Feature Specification: Tier 4 - Master Conductor 知能の完全化,active,spec,,docs/shigoku/specs/REQ_tier4_mc_intelligence.md
SGK-2026-0097,Tier 5: EthicsGuard 強化仕様書 (REQ_tier5_ethics_guard),active,spec,,docs/shigoku/specs/REQ_tier5_ethics_guard.md
SGK-2026-0098,REQ: Tier 6 高度攻撃能力 (Advanced Attacks),active,spec,,docs/shigoku/specs/REQ_tier6_advanced_attacks.md
SGK-2026-0099,SmartCmdSSRFHunter 強化仕様書,active,spec,,docs/shigoku/specs/SSRF_HUNTER_ENHANCEMENT.md
SGK-2026-0100,🧠 SHIGOKU 技術設計書,active,spec,,docs/shigoku/specs/TECHNICAL_DESIGN2026-01-26.md
SGK-2026-0101,🏗️ SHIGOKU 技術仕様書,active,spec,,docs/shigoku/specs/TECHNICAL_SPEC_JA.md
SGK-2026-0102,LLM Actor-Critic Fuzzing Loop 仕様書,active,spec,,docs/shigoku/specs/actor_critic_payload_generator.md
SGK-2026-0103,仕様書: AdaptivePerformanceTuner,active,spec,,docs/shigoku/specs/adaptive_performance_tuner.md
SGK-2026-0104,Agent Hardening & Authentication Integration Specification,active,spec,,docs/shigoku/specs/agent_hardening_and_auth.md
SGK-2026-0105,機能仕様書: Any-LLM (Proxy Gateway) の導入,active,spec,,docs/shigoku/specs/any-llm-integration.md
SGK-2026-0106,Specification: Bug Bounty Optimization,active,spec,,docs/shigoku/specs/bug_bounty_enhancements.md
SGK-2026-0107,Specification: Caido Sitemap Parser Agent,active,spec,,docs/shigoku/specs/caido_sitemap_agent.md
SGK-2026-0108,SmartCmdSSRFHunter Phase 3 仕様書,active,spec,,docs/shigoku/specs/cmd_ssrf_phase3.md
SGK-2026-0109,Command Injection & SSRF Specialist Feature Specification,active,spec,,docs/shigoku/specs/cmd_ssrf_specialist.md
SGK-2026-0110,仕様書: 設定管理のリファクタリング (Pydantic Settings 移行),active,spec,,docs/shigoku/specs/config_refactoring.md
SGK-2026-0111,仕様書: CPUバウンド処理のオフロード,active,spec,,docs/shigoku/specs/cpu_offloading.md
SGK-2026-0112,Spec: DVWA Medium Bypasses (Phase 1),active,spec,,docs/shigoku/specs/dvwa_medium_bypass_phase1.md
SGK-2026-0113,Specification: Phase 2 - Opaque Session & Auth Bypass Enhancement,active,spec,,docs/shigoku/specs/dvwa_medium_bypass_phase2.md
SGK-2026-0114,Dynamic Recon and Context Propagation Specification,active,spec,,docs/shigoku/specs/dynamic_recon_attack.md
SGK-2026-0115,Dynamic Resource Scaling Specification,active,spec,,docs/shigoku/specs/dynamic_resource_scaling.md
SGK-2026-0116,Spec: エンジン・パフォーマンス最適化,active,spec,,docs/shigoku/specs/engine_performance_optimization.md
SGK-2026-0117,Enhance Report History & Timezone,active,spec,,docs/shigoku/specs/enhance_report_history.md
SGK-2026-0118,File Upload Vulnerability Scanner Specification,active,spec,,docs/shigoku/specs/file_upload_scanner.md
SGK-2026-0119,File Upload Vulnerability Scanner v2 Specification (Revised: Context-Aware Path Prediction),active,spec,,docs/shigoku/specs/file_upload_scanner_v2.md
SGK-2026-0120,Spec: AsyncNetworkClient のループ耐性向上と Event loop is closed エラーの修正,active,spec,,docs/shigoku/specs/fix_event_loop_closed.md
SGK-2026-0121,仕様書: 実行時エラーとタイムアウトの修正,active,spec,,docs/shigoku/specs/fix_execution_errors.md
SGK-2026-0122,仕様書: InjectionSwarm (InjectionManagerAgent) の正常化,active,spec,,docs/shigoku/specs/fix_injection_swarm.md
SGK-2026-0123,Katana Target Generation Fix,active,spec,,docs/shigoku/specs/fix_katana_target_generation.md
SGK-2026-0124,Spec: Recon Pipeline 空ターゲットガードの実装,active,spec,,docs/shigoku/specs/fix_recon_empty_target_error.md
SGK-2026-0125,Report History & Timezone Fix Spec,active,spec,,docs/shigoku/specs/fix_report_history_and_timezone.md
SGK-2026-0126,Spec: Fix SmartXSSHunter Logic and Prompts,active,spec,,docs/shigoku/specs/fix_smart_xss_logic.md
SGK-2026-0127,Feature Specification: GitHub Client Optimization,active,spec,,docs/shigoku/specs/github_client_optimization.md
SGK-2026-0128,GitHub MCP Integration (GitHub Dorks),active,spec,,docs/shigoku/specs/github_mcp_integration.md
SGK-2026-0129,IDOR Enhancement Phase 2 & 3: Mass Assignment & Body Parsing,active,spec,,docs/shigoku/specs/idor_phase2_3.md
SGK-2026-0130,Intelligence → MasterConductor 統合仕様書,active,spec,,docs/shigoku/specs/intelligence_mc_integration.md
SGK-2026-0131,脆弱性連鎖（Vulnerability Chaining）の仕様書,active,spec,,docs/shigoku/specs/inter_agent_chaining.md
SGK-2026-0132,仕様書: I/Oパフォーマンスとディスクアクセスの最適化,active,spec,,docs/shigoku/specs/io_performance_optimization.md
SGK-2026-0133,Spec: Katana Headless Crawler Integration & Unified Caido Proxy Strategy,active,spec,,docs/shigoku/specs/katana_caido_integration.md
SGK-2026-0134,LFI / Path Traversal Scanner v2 (Smart LFI Hunter) Specification,active,spec,,docs/shigoku/specs/lfi_scanner.md
SGK-2026-0135,仕様書: LLM API呼び出しの最適化 (LLM Optimization),active,spec,,docs/shigoku/specs/llm_optimization.md
SGK-2026-0136,Spec: BizLogicHunter Migration to Master Conductor Architecture,active,spec,,docs/shigoku/specs/migrate_biz_logic_hunter.md
SGK-2026-0137,Feature Specification: Tier 3 IDOR 完全体 (MultiSessionManager & OpenAPI Privilege Guesser),active,spec,,docs/shigoku/specs/multi_session_manager.md
SGK-2026-0138,Spec: AsyncNetworkClient のI/Oボトルネック解消,active,spec,,docs/shigoku/specs/optimize_network_io.md
SGK-2026-0139,Spec: サブプロセス実行の最適化,active,spec,,docs/shigoku/specs/optimize_subprocess_execution.md
SGK-2026-0140,仕様書：最適化された階層型キャッシュ戦略,active,spec,,docs/shigoku/specs/optimized_cache_strategy.md
SGK-2026-0141,仕様書: 統合パフォーマンス最適化 (Performance Optimization v2),active,spec,,docs/shigoku/specs/performance_optimization_v2.md
SGK-2026-0142,Phase 1.1: Swarm Retry Engine 仕様書,active,spec,,docs/shigoku/specs/phase1_1_swarm_retry_engine.md
SGK-2026-0143,Phase 1.2: Dynamic Task Queue 仕様書,active,spec,,docs/shigoku/specs/phase1_2_dynamic_task_queue.md
SGK-2026-0144,Phase 1.3: Proxy Chain & Async Network Client 仕様書,active,spec,,docs/shigoku/specs/phase1_3_proxy_chain.md
SGK-2026-0145,Phase 1: 足場固めと構造改革 (Swarm化 & 入力正規化) 詳細仕様書,active,spec,,docs/shigoku/specs/phase1_refactor.md
SGK-2026-0146,Phase 2.1: Critical Path Analysis 仕様書,active,spec,,docs/shigoku/specs/phase2_1_critical_path.md
SGK-2026-0147,Phase 2.2: OOB (Out-of-Band) Detection 仕様書,active,spec,,docs/shigoku/specs/phase2_2_oob_detection.md
SGK-2026-0148,Phase 2.3: Headless Browser Validator 仕様書,active,spec,,docs/shigoku/specs/phase2_3_headless_browser.md
SGK-2026-0149,Phase 2.4: Race Condition Tester 仕様書,active,spec,,docs/shigoku/specs/phase2_4_race_condition.md
SGK-2026-0150,Phase 2.5: Dynamic Wordlist Generation 仕様書,active,spec,,docs/shigoku/specs/phase2_5_dynamic_wordlist.md
SGK-2026-0151,Phase 3.2: Fuzzing Swarm (Active Reconnaissance),active,spec,,docs/shigoku/specs/phase3_2_fuzzing_swarm.md
SGK-2026-0152,Phase 3.6: Scanner Swarm Specification,active,spec,,docs/shigoku/specs/phase3_6_scanner_swarm.md
SGK-2026-0153,Phase 3: ParamFuzzer & Intelligence Implementation,active,spec,,docs/shigoku/specs/phase3_param_fuzzer_and_intelligence.md
SGK-2026-0154,Recon Pipeline 最適化評価レポート,active,spec,,docs/shigoku/specs/pipeline_optimization_report.md
SGK-2026-0155,仕様書: コードプロファイリングの導入,active,spec,,docs/shigoku/specs/profiling_introduction.md
SGK-2026-0156,Specification: Recipe Execution Engine Optimization,active,spec,,docs/shigoku/specs/recipe_engine_optimization.md
SGK-2026-0157,偵察バッチ処理の最適化仕様書 (Spec.md),active,spec,,docs/shigoku/specs/recon_batch_processing.md
SGK-2026-0158,仕様書: Recon Pipeline 並列数制御の最適化,active,spec,,docs/shigoku/specs/recon_concurrency_optimization.md
SGK-2026-0159,Spec: Response Comparison Heuristics (IDOR 成立判定エンジン),active,spec,,docs/shigoku/specs/response_comparison_heuristics.md
SGK-2026-0160,Spec: Shutdown Cleanup and Resource Management Fixes,active,spec,,docs/shigoku/specs/shutdown_fix.md
SGK-2026-0161,Spec: Tier 1 (Phase 1 Closure) - `multipart/form-data` 対応 & Swarm Semaphore,active,spec,,docs/shigoku/specs/tier1_phase1_closure_20260301.md
SGK-2026-0162,Spec: Tier 1 (Phase 2) - `IdorHunterSpecialist` 強化 (HPP & 動的プロパティ抽出),active,spec,,docs/shigoku/specs/tier1_phase2_idor_enhancement_20260301.md
SGK-2026-0163,Tier 2 Phase 1: Intelligence Integration Spec,active,spec,,docs/shigoku/specs/tier2_phase1_intelligence_integration.md
SGK-2026-0164,Spec: Tier 2 Phase 2 - 学習データに基づく動的スキャン最適化,active,spec,,docs/shigoku/specs/tier2_phase2_dynamic_optimization.md
SGK-2026-0165,Tier 7: プラットフォーム化実装仕様 (Platformization Spec),active,spec,,docs/shigoku/specs/tier7_platformization.md
SGK-2026-0166,Visibility & Metrics 仕様書,active,spec,,docs/shigoku/specs/visibility_and_metrics.md
SGK-2026-0167,XSS Specialist (Stored & Reflected) Feature Specification,active,spec,,docs/shigoku/specs/xss_specialist.md
SGK-2026-0168,Spec: XSS Hunter Workflow & Tool Integration Improvements,active,spec,,docs/shigoku/specs/xss_workflow_improvement.md
SGK-2026-0169,IMPLEMANTATION PLAN: Phase 1 Refactor (Swarm & TargetAsset),backlog,subtask_plan,,docs/shigoku/subtasks/2026-02-12_phase1_implementation_plan.md
SGK-2026-0170,Implementation Plan: Phase 2 - 頭脳のアップグレード,backlog,subtask_plan,,docs/shigoku/subtasks/2026-02-13_phase2_implementation_plan.md
SGK-2026-0171,Phase 1: 足場固めと構造改革 (Swarm化 & 入力正規化) - TODO Tasks,backlog,subtask_plan,SGK-2026-0058,docs/shigoku/subtasks/phase1_tasks.md
SGK-2026-0172,2025-12-25_Final_Audit_Refactoring,done,work_log,,docs/shigoku/worklogs/2025-12-25_Final_Audit_Refactoring.md
SGK-2026-0173,2025-12-25_Implement_Golden_Recipes,done,work_log,,docs/shigoku/worklogs/2025-12-25_Implement_Golden_Recipes.md
SGK-2026-0174,2025-12-25_Implement_SHIGOKU_Recipes_Fallback,done,work_log,,docs/shigoku/worklogs/2025-12-25_Implement_SHIGOKU_Recipes_Fallback.md
SGK-2026-0175,2025-12-25_Integrate_Advanced_Sub_Agents,done,work_log,,docs/shigoku/worklogs/2025-12-25_Integrate_Advanced_Sub_Agents.md
SGK-2026-0176,2025-12-25 Agent Portfolio Optimization,done,work_log,,docs/shigoku/worklogs/2025-12-25_Optimize_Agent_Portfolio.md
SGK-2026-0177,2025-12-25_Refine_SHIGOKU_Workflow_Gaps,done,work_log,,docs/shigoku/worklogs/2025-12-25_Refine_SHIGOKU_Workflow_Gaps.md
SGK-2026-0178,2025-12-25_SHIGOKU_Flow_Gap_Implementation,done,work_log,,docs/shigoku/worklogs/2025-12-25_SHIGOKU_Flow_Gap_Implementation.md
SGK-2026-0179,2025-12-25_SHIGOKU_Gap_Implementation_Plan,done,work_log,,docs/shigoku/worklogs/2025-12-25_SHIGOKU_Gap_Implementation_Plan.md
SGK-2026-0180,2025-12-25_Verify_SHIGOKU_Parallel_GPU,done,work_log,,docs/shigoku/worklogs/2025-12-25_Verify_SHIGOKU_Parallel_GPU.md
SGK-2026-0181,2026-01-01_Enhance_CoT_Prompt,done,work_log,,docs/shigoku/worklogs/2026-01-01_Enhance_CoT_Prompt.md
SGK-2026-0182,2026-01-01_Enhance_IDOR_Detection,done,work_log,,docs/shigoku/worklogs/2026-01-01_Enhance_IDOR_Detection.md
SGK-2026-0183,2026-01-01_New_Security_Tool_Integration,done,work_log,,docs/shigoku/worklogs/2026-01-01_New_Security_Tool_Integration.md
SGK-2026-0184,2026-01-01_Notification_System_Integration,done,work_log,,docs/shigoku/worklogs/2026-01-01_Notification_System_Integration.md
SGK-2026-0185,2026-01-01_SSTI_Scanner_Implementation,done,work_log,,docs/shigoku/worklogs/2026-01-01_SSTI_Scanner_Implementation.md
SGK-2026-0186,2026-01-01_Workflow_Definitions,done,work_log,,docs/shigoku/worklogs/2026-01-01_Workflow_Definitions.md
SGK-2026-0187,2026-01-02_Enhance_RAG_Context,done,work_log,,docs/shigoku/worklogs/2026-01-02_Enhance_RAG_Context.md
SGK-2026-0188,2026-01-02_Project_List_Feature,done,work_log,,docs/shigoku/worklogs/2026-01-02_Project_List_Feature.md
SGK-2026-0189,作業ログ: SHIGOKU 機能拡張マスタープラン策定,done,work_log,,docs/shigoku/worklogs/2026-01-03_Feature_Expansion_Plan.md
SGK-2026-0190,2026-01-03_Intelligence_Module,done,work_log,,docs/shigoku/worklogs/2026-01-03_Intelligence_Module.md
SGK-2026-0191,作業ログ: 2026-01-03 Phase 1-3 コードレビュー＆テスト実装,done,work_log,,docs/shigoku/worklogs/2026-01-03_Phase1-3_Code_Review.md
SGK-2026-0192,2026-01-03_Phase1-3_Code_Review_E2E,done,work_log,,docs/shigoku/worklogs/2026-01-03_Phase1-3_Code_Review_E2E.md
SGK-2026-0193,2026-01-03_Phase1-3_Final,done,work_log,,docs/shigoku/worklogs/2026-01-03_Phase1-3_Final.md
SGK-2026-0194,2026-01-03_Phase1_3_Feature_Expansion,done,work_log,,docs/shigoku/worklogs/2026-01-03_Phase1_3_Feature_Expansion.md
SGK-2026-0195,2026-01-04_Agent_Registry_Phase1,done,work_log,,docs/shigoku/worklogs/2026-01-04_Agent_Registry_Phase1.md
SGK-2026-0196,2026-01-04_Bug_Analysis_and_Fixes,done,work_log,,docs/shigoku/worklogs/2026-01-04_Bug_Analysis_and_Fixes.md
SGK-2026-0197,2026-01-04_Bug_Fix_Investigation,done,work_log,,docs/shigoku/worklogs/2026-01-04_Bug_Fix_Investigation.md
SGK-2026-0198,2026-01-04_Implement_Security_Guardrails,done,work_log,,docs/shigoku/worklogs/2026-01-04_Implement_Security_Guardrails.md
